geo_level,geo_level_label_value,geography,geography_label_value,ind_level,industry,industry_label_value,ownercode,ownercode_label_value,race,race_label_value,ethnicity,ethnicity_label_value,firmsize,firmsize_label_value,agg_level,year_pd,n_employed,county,pop_total,pop_white,pop_black,pop_native,pop_asian,pop_hispanic,population_by_ethnicity,baseline_emp_ethnicity,recovery_index_ethnicity,jobs_per_capita
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A1,Not Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,472770.0,Alameda,1643700,523391,172329,5288,483067,369061,1643700,476774.0,99.16018910427162,0.2876254791020259
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A2,Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,151416.0,Alameda,1643700,523391,172329,5288,483067,369061,369061,156843.0,96.5398519538647,0.41027364040090936
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A1,Not Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,223871.0,Contra Costa,1133247,502951,93683,2376,182135,288101,1133247,224936.0,99.52653199132197,0.19754828382515022
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A2,Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,74672.0,Contra Costa,1133247,502951,93683,2376,182135,288101,288101,76971.0,97.01316080082108,0.25918688237805493
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A1,Not Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,66228.0,Marin,260295,185809,5597,435,14815,41335,260295,65803.0,100.64586720970168,0.25443439174782456
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A2,Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,19487.0,Marin,260295,185809,5597,435,14815,41335,41335,19753.0,98.65336910848985,0.4714406677150115
C,Counties,6055,"Napa, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A1,Not Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,36361.0,Napa,140530,74159,2764,326,11210,47687,140530,37579.0,96.75882806886825,0.2587419056429232
C,Counties,6055,"Napa, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A2,Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,19297.0,Napa,140530,74159,2764,326,11210,47687,47687,20267.0,95.21389450831401,0.4046595508209785
C,Counties,6075,"San Francisco, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A1,Not Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,465885.0,San Francisco,870044,353670,43619,1363,294846,132651,870044,483054.0,96.44573898570347,0.5354729186110128
C,Counties,6075,"San Francisco, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A2,Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,95726.0,San Francisco,870044,353670,43619,1363,294846,132651,132651,100314.0,95.42636122575115,0.721637982374803
C,Counties,6081,"San Mateo, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A1,Not Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,270462.0,San Mateo,765935,303047,16838,1151,212474,189002,765935,282802.0,95.63652307975191,0.35311351485439363
C,Counties,6081,"San Mateo, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A2,Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,68829.0,San Mateo,765935,303047,16838,1151,212474,189002,189002,71980.0,95.62239510975272,0.36417074951587813
C,Counties,6085,"Santa Clara, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A1,Not Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,705893.0,Santa Clara,1922200,615912,45379,3003,685265,495455,1922200,721852.0,97.78915899658102,0.36723181770887525
C,Counties,6085,"Santa Clara, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A2,Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,189595.0,Santa Clara,1922200,615912,45379,3003,685265,495455,495455,195129.0,97.16392745312076,0.3826684562674713
C,Counties,6095,"Solano, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A1,Not Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,71852.0,Solano,438530,168870,59500,1258,65994,114406,438530,72604.0,98.96424439424824,0.1638473992657287
C,Counties,6095,"Solano, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A2,Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,28112.0,Solano,438530,168870,59500,1258,65994,114406,114406,28612.0,98.25248147630364,0.24572137824939252
C,Counties,6097,"Sonoma, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A1,Not Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,110895.0,Sonoma,501317,318237,7192,2068,19720,132985,501317,113429.0,97.76600340300982,0.22120733986679086
C,Counties,6097,"Sonoma, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A2,Hispanic or Latino,0,All Firm Sizes,4137,2018-01-01,41272.0,Sonoma,501317,318237,7192,2068,19720,132985,132985,43645.0,94.56295108259823,0.3103507914426439
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A0,All Races,A1,Not Hispanic or Latino,0,All Firm Sizes,4137,2019-01-01,476774.0,Alameda,1656754,520447,171168,5210,496006,371019,1656754,476774.0,100.0,0.2877759763972201
